Title,Print ISSN,e-ISSN
American Ethnologist (AAA),0094-0496,1548-1425
American Ethnologist (Wiley),0094-0496,1548-1425
American Fern Journal,0002-8444,
American Foreign Policy Interests,1080-3920,1533-2128
American Foreign Policy Newsletter,0738-3169,
American Heart Journal,0002-8703,
American Historical Review,0002-8762,1937-5239
American Imago,0065-860X,1085-7931
American Indian Quarterly,0095-182X,1534-1828
American Industrial Hygiene Association Journal,0002-8894,
American Jewish History,0164-0178,1086-3141
American Journal of Agricultural Economics,0002-9092,1467-8276
American Journal of Alzheimer's Disease,1533-3175,
American Journal of Archaeology,0002-9114,1939-828X
American Journal of Bioethics,1526-5161,1536-0075
American Journal of Cardiology,0002-9149,1879-1913
American Journal of Clinical Hypnosis,0002-9157,2160-0562
American Journal of Clinical Oncology: Cancer Clinical Trials,0277-3732,1537-453X
American Journal of Contact Dermatitis,1046-199X,
American Journal of Dance Therapy,0146-3721,1573-3262
American Journal of Dermatopathology,0193-1091,
American Journal of Diseases of Children,0002-922X,1538-3628
American Journal of Distance Education,0892-3647,1538-9286
American Journal of Drug and Alcohol Abuse (T&F),0095-2990,1097-9891
American Journal of Economics and Sociology,0002-9246,1536-7150
American Journal of Education,0195-6744,1549-6511
American Journal of Emergency Medicine,0735-6757,
American Journal of Epidemiology,0002-9262,1476-6256
American Journal of Evaluation (Elsevier),1098-2140,1557-0878
American Journal of Evaluation (Sage),1098-2140,1557-0878
American Journal of Family Therapy,0192-6187,1521-0383
American Journal of Forensic Medicine and Pathology,0195-7910,
American Journal of Geriatric Pharmacotherapy,1543-5946,
American Journal of Geriatric Psychiatry,1064-7481,1545-7214
American Journal of Hematology,0361-8609,1096-8652
American Journal of Hospice & Palliative Medicine,1049-9091,
American Journal of Human Biology,1042-0533,1520-6300
American Journal of Hypertension,0895-7061,
American Journal of Industrial Medicine,0271-3586,1097-0274
American Journal of Infection Control,0196-6553,
American Journal of International Law,0002-9300,
American Journal of Lifestyle Medicine,1559-8276,1559-8284
American Journal of Mathematics,0002-9327,1080-6377
American Journal of Medical Genetics,0148-7299,1096-8628
American Journal of Medical Genetics Part A,1552-4825,1552-4833
American Journal of Medical Genetics Part B: Neuropsychiatric Genetics,1552-4841,1552-485X
American Journal of Medical Genetics Part C: Seminars in Medical Genetics,1552-4868,1552-4876
American Journal of Medical Quality,1062-8606,1555-824X
American Journal of Medicine,0002-9343,
American Journal of Medicine: Supplement,1548-2766,
American Journal of Men's Health,1557-9883,1557-9891
American Journal of Nephrology,0250-8095,1421-9670
American Journal of Nursing,0002-936X,
American Journal of Obstetrics and Gynecology,0002-9378,
American Journal of Ophthalmology,0002-9394,
American Journal of Optometry and Archives of American Academy of Optometry,0002-9408,
American Journal of Optometry and Physiological Optics,0093-7002,
American Journal of Orthodontics,0002-9416,
American Journal of Orthodontics and Dentofacial Orthopedics,0889-5406,
American Journal of Orthodontics and Oral Surgery,0096-6347,
American Journal of Orthopsychiatry (APA),0002-9432,1939-0025
American Journal of Orthopsychiatry (Wiley),0002-9432,1939-0025
American Journal of Otolaryngology,0196-0709,
American Journal of Otology,0192-9763,
American Journal of Pastoral Counseling,1094-6098,1528-6886
American Journal Of Pediatric Hematology/Oncology,0192-8562,
American Journal of Perinatology,0735-1631,1098-8785
American Journal of Perinatology Reports,2157-6998,2157-7005
American Journal of Philology,0002-9475,1086-3168
American Journal of Physical Anthropology,0002-9483,1096-8644
American Journal of Physical Medicine,0002-9491,
American Journal of Physical Medicine and Rehabilitation,0894-9115,
American Journal of Police,0735-8547,
American Journal of Political Science,0092-5853,1540-5907
American Journal of Preventive Medicine,0749-3797,
American Journal of Primatology,0275-2565,1098-2345
American Journal of Psychiatric Rehabilitation,1548-7768,1548-7776
American Journal of Psychology,0002-9556,1939-8298
American Journal of Reproductive Immunology,1046-7408,1600-0897
American Journal of Sexuality Education,1554-6128,1554-6136
American Journal of Sexuality Education,1554-6128,1554-6136
American Journal of Sociology,0002-9602,1537-5390
American Journal of Sports Medicine,0363-5465,1552-3365
American Journal of Surgery,0002-9610,
American Journal of Surgical Pathology,0147-5185,1532-0979
American Journal of the Medical Sciences,0002-9629,
American Journal of Theology and Philosophy,0194-3448,2156-4795
American Journal of Therapeutics,1075-2765,
American Journal of Transplantation,1600-6135,1600-6143
American Journal on Addictions (Informa),1055-0496,1521-0391
American Journal on Addictions (T&F),1055-0496,1521-0391
American Law and Economics Review,1465-7252,1465-7260
American Literary History,0896-7148,1468-4365
American Literary Realism,0002-9823,1940-5103
American Literary Scholarship,0065-9142,1527-2125
American Literature,0002-9831,1527-2117
American Malacological Bulletin,0740-2783,
American Mathematical Monthly,0002-9890,1930-0972
American Medical News,0001-1843,1539-5162
American Midland Naturalist,0003-0031,
American Museum Novitates,0003-0082,
American Music,0734-4392,1945-2349
American Naturalist,0003-0147,1537-5323
American Nineteenth Century History,1466-4658,1743-7903
"American Political Thought: A Journal of Ideas, Institutions, and Culture",2161-1580,2161-1599
American Politics Research,1532-673X,1552-3373
American Psychologist,0003-066X,1935-990X
American Quarterly,0003-0678,1080-6490
American Review of Canadian Studies,0272-2011,1943-9954
American Review of Public Administration,0275-0740,1552-3357
American Sociological Review,0003-1224,1939-8271
American Speech,0003-1283,1527-2133
American Zoologist,0003-1569,
Amino Acids,0939-4451,1438-2199
Amphibia-Reptilia,0173-5373,1568-5381
AMS Review,1869-814X,1869-8182
Amyloid (Informa),1350-6129,1744-2818
Amyloid (T&F),1350-6129,1744-2818
Amyotrophic Lateral Sclerosis (Informa),1748-2968,1471-180X
Amyotrophic Lateral Sclerosis (T&F),1748-2968,1471-180X
Anaerobe,1075-9964,
Anaesthesia,0003-2409,1365-2044
Anaesthesia and Intensive Care Medicine,1472-0299,
Anaesthesia Essays and Researches,0259-1162,
Analog Integrated Circuits and Signal Processing,0925-1030,1573-1979
Analysis,0003-2638,1467-8284
Analysis & Applications,0219-5305,1793-6861
Analysis and Intervention in Developmental Disabilities,0270-4684,
Analysis and Mathematical Physics,1664-2368,1664-235X
Analysis in Theory and Applications,1672-4070,1573-8175
Analysis Mathematica,0133-3852,1588-273X
Analytica Chimica Acta,0003-2670,
Analytical Biochemistry,0003-2697,
Analytical Cellular Pathology,0921-8912,
Analytical Chemistry,0003-2700,1520-6882
Analytical Communications,1359-7337,1364-5536
Analytical Letters,0003-2719,1532-236X
Analytical Methods,1759-9660,1759-9679
Analytical Proceedings,0144-557X,
Analytical Proceedings including Analytical Communications,,
Analytische Psychologie,0301-3006,1421-9689
"Anästhesiologie, Intensivmedizin, Notfallmedizin",0174-1837,1439-1074
Anatolia,1303-2917,2156-6909
"Anatomia, Histologia, Embryologia",0340-2096,1439-0264
Anatomical Record,0003-276X,1097-0185
"Anatomical Record Part A: Discoveries in Molecular, Cellular, and Evolutionary Biology",1552-4884,1552-4892
Anatomical Record Part B: The New Anatomist,1552-4906,1552-4914
Anatomical Record: Advances in Integrative Anatomy and Evolutionary Biology,1932-8486,1932-8494
Anatomical Science International,1447-6959,1447-073X
Anatomical Sciences Education,1935-9772,1935-9780
Anatomy and Embryology,0340-2061,1432-0568
Anatomy Research International,2090-2743,2090-2751
Ancient Civilizations from Scythia to Siberia,0929-077X,1570-0577
Ancient Mesoamerica,0956-5361,1469-1787
Ancient Philosophy,0740-2007,2154-4689
Andrologia,0303-4569,1439-0272
Anemia,2090-1267,2090-1275
Anesthesia and Analgesia,0003-2999,
Anesthesiology,0003-3022,1528-1175
Anesthesiology Research and Practice,1687-6962,1687-6970
Angelaki: Journal of the Theoretical Humanities,0969-725X,1469-2899
Angewandte Chemie,0044-8249,1521-3757
Angewandte Chemie International Edition,1433-7851,1521-3773
Angewandte Chemie: International Edition in English,0570-0833,1521-3773
Angiogenesis,0969-6970,1573-7209
Angiology,0003-3197,
Anglia,0340-5222,1865-8938
Anglo-Saxon England,0263-6751,1474-0532
Animal Behaviour,0003-3472,
Animal Biology,1570-7555,1570-7563
Animal Biotechnology,1049-5398,1532-2378
Animal Cells and Systems,1976-8354,2151-2485
Animal Cognition,1435-9448,1435-9456
Animal Conservation,1367-9430,1469-1795
Animal Feed Science and Technology,0377-8401,
Animal Genetics,0268-9146,1365-2052
Animal Health Research Reviews,1466-2523,1475-2654
Animal Production Science,1836-0939,1836-5787
Animal Reproduction Science,0378-4320,
Animal Science Journal,1344-3941,1740-0929
Animation,1746-8477,1746-8485
Annalen der Physik,0003-3804,1521-3889
Annales d'Urologie,0003-4401,
Annales de Cardiologie et d'Angeiologie,0003-3928,
Annales de Chimie: Science des Matériaux,0151-9107,
Annales de Chirurgie,0003-3944,
Annales de Chirurgie de la Main,0753-9053,
Annales de Chirurgie de la Main et du Membre Superieur,1153-2424,
Annales de Chirurgie Plastique Esthétique,0294-1260,
Annales de Génétique,0003-3995,
Annales de l'Institut Henri Poincaré (B) Probabilités et Statistiques,0246-0203,
Annales de l'Institut Henri Poincaré (C) Analyse Non Linéaire,0294-1449,
Annales de l'Institut Pasteur: Actualités,0924-4204,
Annales de l'Institut Pasteur: Immunologie,0769-2625,
Annales de l'Institut Pasteur: Microbiologie,0769-2609,
Annales de l'Institut Pasteur: Virologie,0769-2617,
Annales de Paléontologie,0753-3969,
Annales de Réadaptation et de Médecine Physique,0168-6054,
Annales des Ponts et Chaussées,0152-9668,
Annales des Sciences Naturelles - Zoologie et Biologie Animale,0003-4339,
Annales Françaises d'Anesthésie et de Réanimation,0750-7658,
Annales Geophysicae,0992-7689,1432-0576
Annales Médico-Psychologiques: Revue Psychiatrique,0003-4487,
Annales Nestlé (English edition),0517-8606,1661-4011
Annales Nestlé (French edition),0250-9644,1661-3732
Annales Nestlé (German edition),0250-9652,1661-3740
Annales Nestlé (Spanish edition),0252-8185,1661-4003
Annales Scientifiques de l'École Normale Supérieure,0012-9593,
Annales Theologici,0394-8226,1972-4934
Annales Zoologici,0003-4541,
Annali dell'Istituto Universitario Orientale di Napoli,1128-7209,1724-6172
Annali dell'Università di Ferrara,0430-3202,1827-1510
Annali di Chimica,0003-4592,1612-8877
Annali di Scienze Religiosi,2031-5929,
Annali Istituto Gramsci,1128-9279,1828-2423
Annals and Magazine of Natural History,0374-5481,1464-5262
Annals of African Medicine,1596-3519,0975-5764
Annals of Anatomy - Anatomischer Anzeiger,0940-9602,
Annals of Applied Biology,0003-4746,1744-7348
Annals of Behavioral Medicine,0883-6612,1532-4796
Annals of Botany (Elsevier),0305-7364,1095-8290
Annals of Botany (OUP),0305-7364,1095-8290
Annals of Cardiac Anaesthesia,0971-9784,0974-5181
Annals of Clinical Biochemistry,0004-5632,1758-1001
Annals of Clinical Microbiology and Antimicrobials,,1476-0711
Annals of Clinical Psychiatry,1040-1237,1547-3325
Annals of Combinatorics,0218-0006,0219-3094
Annals of Diagnostic Pathology,1092-9134,
Annals of Emergency Medicine,0196-0644,
Annals of Epidemiology,1047-2797,
Annals of Finance,1614-2446,1614-2454
Annals of General Psychiatry,,1744-859X
Annals of GIS,1947-5683,1947-5691
Annals of Global Analysis and Geometry,0232-704X,1572-9060
Annals of Hematology,0939-5555,1432-0584
Annals of Human Biology (Informa),0301-4460,1464-5033
Annals of Human Biology (T&F),0301-4460,1464-5033
Annals of Human Genetics,0003-4800,1469-1809
Annals of Indian Academy of Neurology,0972-2327,1998-3549
Annals of Innovation and Entrepreneurship,,2000-7396
Annals of Leisure Research,1174-5398,2159-6816
Annals of Mathematical Logic,0003-4843,
Annals of Mathematics and Artificial Intelligence,1012-2443,1573-7470
Annals of Maxillofacial Surgery,2231-0746,2249-3816
Annals of Medicine (Informa),0785-3890,1365-2060
Annals of Medicine (T&F),0785-3890,1365-2060
Annals of Microbiology,1590-4261,1869-2044
Annals of Neurology,0364-5134,1531-8249
Annals of Nigerian Medicine,0331-3131,
Annals of Noninvasive Electrocardiology,1082-720X,1542-474X
Annals of Nuclear Energy,0306-4549,
Annals of Nuclear Medicine,0914-7187,1864-6433
Annals of Nuclear Science and Engineering,0302-2927,
Annals of Nutrition and Metabolism,0250-6807,1421-9697
Annals of Oncology,0923-7534,1569-8041
Annals of Operations Research,0254-5330,1572-9338
Annals of Pediatric Cardiology,0974-2069,0974-5149
Annals of Physical and Rehabilitation Medicine,1877-0657,1877-0665
Annals of Physics,0003-4916,
Annals of Plastic Surgery,0148-7043,
Annals of Public and Cooperative Economics,1370-4788,1467-8292
Annals of Pure and Applied Logic,0168-0072,
Annals of Saudi Medicine,0256-4947,1319-9226
Annals of Science,0003-3790,1464-505X
Annals of Solid and Structural Mechanics,1867-6936,1867-6944
Annals of Surgery,0003-4932,1528-1140
Annals of Surgical Innovation and Research,,1750-1164
Annals of Surgical Oncology,1068-9265,1534-4681
Annals of Telecommunications / Annales des Télécommunications,0003-4347,1958-9395
Annals of the American Academy of Political and Social Science,0002-7162,1552-3349
Annals of the Association of American Geographers,0004-5608,1467-8306
Annals of the Carnegie Museum of Natural History,0097-4463,
Annals of the Entomological Society of America (BioOne),0013-8746,
Annals of the Entomological Society of America (Entomology),0013-8746,1938-2901
Annals of the ICRP,0146-6453,
Annals of the Missouri Botanical Garden,0026-6493,
Annals of the New York Academy of Sciences,0077-8923,1749-6632
Annals of Thoracic Medicine,1817-1737,1998-3557
Annals of Thoracic Surgery,0003-4975,
Annals of Tourism Research,0160-7383,
Annals of Tropical Medicine & Parasitology,0003-4983,1364-8594
Annals of Tropical Medicine and Public Health,1755-6783,0974-6005
Annals of Tropical Paediatrics,0272-4936,1465-3281
Annals of Vascular Surgery,0890-5096,1615-5947
"Année Biologique, L'",0003-5017,
Annotated Bibliography for English Studies,1385-1020,1389-0603
Annual Battery Conference on Applications and Advances,1093-9288,
"Annual Battery Conference on Applications and Advances, Proceedings of the",,1089-8182
Annual Bulletin of Historical Literature,0066-3832,1467-8314
"Annual Conference on Intelligent Robotic Systems for Space Exploration, Proceedings of the",1063-7117,
"Annual Hawaii International Conference on System Sciences, Proceedings of the",1530-1605,
"Annual IEEE Computer Society International Conference (COMPCON), Proceedings of the",1063-6390,
"Annual IEEE Structure in Complexity Theory Conference, Proceedings of the",1063-6870,
"Annual Knowledge-based Software Engineering Conference, Proceedings of the",1068-3062,
Annual Reports on Analytical Atomic Spectroscopy,0306-1353,
Annual Reports on the Progress of Chemistry,0365-6217,
"Annual Reports on the Progress of Chemistry, A",0260-1818,1460-4760
"Annual Reports on the Progress of Chemistry, B",0069-3030,1460-4779
"Annual Reports on the Progress of Chemistry, C",0260-1826,1460-4787
"Annual Reports on the Progress of Chemistry, Section A: General Physical and Inorganic Chemistry",0069-3022,
"Annual Reports on the Progress of Chemistry, Section A: Physical and Inorganic Chemistry",0308-6003,
Annual Review in Automatic Programming,0066-4138,
Annual Review of Analytical Chemistry,1936-1327,1936-1335
Annual Review of Anthropology,0084-6570,1545-4290
Annual Review of Applied Linguistics,0267-1905,1471-6356
Annual Review of Astronomy and Astrophysics,0066-4146,1545-4282
Annual Review of Biochemistry,0066-4154,1545-4509
Annual Review of Biomedical Engineering,1523-9829,1545-4274
Annual Review of Biophysics,1936-122X,1936-1238
Annual Review of Biophysics and Bioengineering,0084-6589,
Annual Review of Biophysics and Biomolecular Structure,1056-8700,1545-4266
Annual Review of Cell and Developmental Biology,1081-0706,1530-8995
Annual Review of Cell Biology,0743-4634,
Annual Review of Chemical and Biomolecular Engineering,1947-5438,1947-5446
Annual Review of Clinical Psychology,1548-5943,1548-5951
Annual Review of Cognitive Linguistics,1572-0268,1572-0276
Annual Review of Computer Science,8756-7016,
Annual Review of Condensed Matter Physics,1947-5454,1947-5462
Annual Review of Earth and Planetary Sciences,0084-6597,1545-4495
Annual Review of Ecology and Systematics,0066-4162,
"Annual Review of Ecology, Evolution, and Systematics",1543-592X,1545-2069
Annual Review of Economics,1941-1383,1941-1391
Annual Review of Energy,0362-1626,
Annual Review of Energy and the Environment,1056-3466,
Annual Review of Entomology,0066-4170,1545-4487
Annual Review of Environment and Resources,1543-5938,1545-2050
Annual Review of Financial Economics,1941-1367,1941-1375
Annual Review of Fish Diseases,0959-8030,
Annual Review of Fluid Mechanics,0066-4189,1545-4479
Annual Review of Food Science and Technology,1941-1413,1941-1421
